 ------------------------------------------------- ---------- -------- ------ --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------------------------------------------------------ 
  Name                                              Method     Scheme   Host   Path                                                                                                                                                                                                                                                                                                      Controller                                            
  api_v1_event_mails_all                            POST       ANY      ANY    /api/event/volunteers/mails/all.{_format}                                                                                                                                                                                                                                                                 ApiBundle:Event:sendAllMails                          
  api_v1_events_merchant_list                       GET        ANY      ANY    /api/event/{id}/merchant/{page}/{limit}.{_format}                                                                                                                                                                                                                                                         ApiBundle:Event:getEventsMerchant                     
  api_v1_events_filter_merchant                     GET        ANY      ANY    /api/event/merchant/{id}/filter/{personalized}/{page}/{limit}.{_format}                                                                                                                                                                                                                                   ApiBundle:Event:getEventsFilterMerchant               
  api_v1_events_association_list                    GET        ANY      ANY    /api/event/{id}/association/{page}/{limit}.{_format}                                                                                                                                                                                                                                                      ApiBundle:Event:getEventsAssociation                  
  api_v1_events_filter_association                  GET        ANY      ANY    /api/event/association/{id}/filter/{personalized}/{page}/{limit}.{_format}                                                                                                                                                                                                                                ApiBundle:Event:getEventsFilterAssociation            
  api_v1_event_details                              GET        ANY      ANY    /api/event/{id}/details.{_format}                                                                                                                                                                                                                                                                         ApiBundle:Event:detailsEvent                          
  api_v1_delete_event                               GET        ANY      ANY    /api/event/delete/{id}.{_format}                                                                                                                                                                                                                                                                          ApiBundle:Event:deleteEvent                           
  api_v1_event_add                                  POST       ANY      ANY    /api/event/{type}/{id}/new.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Event:new                                   
  api_v1_event_activate                             GET        ANY      ANY    /api/event/{id}/activate.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Event:activate                              
  api_v1_event_deactivate                           GET        ANY      ANY    /api/event/{id}/deactivate.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Event:deactivate                            
  api_v1_event_agenda                               GET        ANY      ANY    /api/event/citzen/agenda/{page}/{limit}.{_format}                                                                                                                                                                                                                                                         ApiBundle:Event:citzenAgenda                          
  api_v1_event_takepart                             GET        ANY      ANY    /api/event/{id}/takepart.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Event:takepart                              
  api_v1_event_canceltakepart                       GET        ANY      ANY    /api/event/{id}/canceltakepart.{_format}                                                                                                                                                                                                                                                                  ApiBundle:Event:canceltakepart                        
  api_v1_event_addcontact                           POST       ANY      ANY    /api/event/{id}/addcontact.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Event:addContact                            
  api_v1_event_citzenfilter                         GET        ANY      ANY    /api/event/citzen/filter/{city}/{datetime}/{page}/{limit}.{_format}                                                                                                                                                                                                                                       ApiBundle:Event:citzeneventFilter                     
  api_v1_event_eventreservations                    GET        ANY      ANY    /api/event/eventreservations.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Event:eventReservation                      
  api_v1_event_citzeneventinterst                   GET        ANY      ANY    /api/event/citzenevent/interest.{_format}                                                                                                                                                                                                                                                                 ApiBundle:Event:citzeneventInterest                   
  api_v1_event_citzeneventallintersts               GET        ANY      ANY    /api/event/citzeneventall/interests/{page}/{limit}.{_format}                                                                                                                                                                                                                                              ApiBundle:Event:citzeneventallInterests               
  api_v1_event_citzeneventPersonalized              GET        ANY      ANY    /api/event/citzenevent/personalized/{type}/{id}/{dayactivitymonday}/{dayactivitytuesday}/{dayactivitywednesday}/{dayactivitythursday}/{dayactivityfriday}/{dayactivitysaturday}/{dayactivitysunday}/{agefrom}/{ageto}/{lessThanSix}/{betweenSixTwelve}/{betweenTwelveEighteen}/{allChildrens}.{_format}   ApiBundle:Event:citzeneventPersonalized               
  api_v1_event_edit                                 POST       ANY      ANY    /api/event/{type}/{event}/edit.{_format}                                                                                                                                                                                                                                                                  ApiBundle:Event:edit                                  
  api_v1_event_agenda_page                          GET        ANY      ANY    /api/event/{city}/agenda/{period}/pagination/{page}/{limit}.{_format}                                                                                                                                                                                                                                     ApiBundle:Event:AgendaPage                            
  api_v1_event_agenda_page_bis                      GET        ANY      ANY    /api/event/{city}/events/{period}/{category}/pagination/{page}/{limit}.{_format}                                                                                                                                                                                                                          ApiBundle:Event:Events                                
  api_v1_event_participants                         GET        ANY      ANY    /api/event/{id}/participants.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Event:eventParticipants                     
  api_v1_event_view_obj                             GET        ANY      ANY    /api/event/{id}.{_format}                                                                                                                                                                                                                                                                                 ApiBundle:Event:view                                  
  api_v1_envent_progress                            GET        ANY      ANY    /api/event/{id}/progress.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Event:enventProgress                        
  api_v1_event_participants_nbre                    POST       ANY      ANY    /api/event/participantsNbre.{_format}                                                                                                                                                                                                                                                                     ApiBundle:Event:participantsNbre                      
  api_v1_add_merchant                               POST       ANY      ANY    /api/merchant/.{_format}                                                                                                                                                                                                                                                                                  ApiBundle:Merchant:add                                
  api_v1_accueil_merchant                           GET        ANY      ANY    /api/merchant/home/{id}.{_format}                                                                                                                                                                                                                                                                         ApiBundle:Merchant:home                               
  api_v1_merchant_view                              GET        ANY      ANY    /api/merchant/view/{id}.{_format}                                                                                                                                                                                                                                                                         ApiBundle:Merchant:view                               
  api_v1_merchant_update                            POST       ANY      ANY    /api/merchant/{id}/update.{_format}                                                                                                                                                                                                                                                                       ApiBundle:Merchant:update                             
  api_v1_merchant_volunteers                        GET        ANY      ANY    /api/merchant/{id}/volunteers.{_format}                                                                                                                                                                                                                                                                   ApiBundle:Merchant:volunteers                         
  api_v1_merchant_admin                             POST       ANY      ANY    /api/merchant/{id}/admin.{_format}                                                                                                                                                                                                                                                                        ApiBundle:Merchant:addAdmin                           
  api_v1_merchant_superadmin                        POST       ANY      ANY    /api/merchant/{id}/superadmin.{_format}                                                                                                                                                                                                                                                                   ApiBundle:Merchant:addSuperAdmin                      
  api_v1_merchant_admins                            GET        ANY      ANY    /api/merchant/{id}/admins/{page}/{limit}.{_format}                                                                                                                                                                                                                                                        ApiBundle:Merchant:admins                             
  api_v1_merchant_remove_admin                      POST       ANY      ANY    /api/merchant/{merchant}/admin/remove.{_format}                                                                                                                                                                                                                                                           ApiBundle:Merchant:removeAdmins                       
  api_v1_merchant_find_serit                        GET        ANY      ANY    /api/merchant/{id}/siret/{siret}.{_format}                                                                                                                                                                                                                                                                ApiBundle:Merchant:findSiret                          
  api_v1_merchant_cities                            GET        ANY      ANY    /api/merchant/cities/{page}/{limit}.{_format}                                                                                                                                                                                                                                                             ApiBundle:Merchant:getMerchantsByCities               
  api_merchant_change-suadmin                       POST       ANY      ANY    /api/merchant/{id}/change/superadmin.{_format}                                                                                                                                                                                                                                                            ApiBundle:Merchant:changeSuAdmin                      
  api_merchant_remove-merchant                      POST       ANY      ANY    /api/merchant/{id}/delete.{_format}                                                                                                                                                                                                                                                                       ApiBundle:Merchant:deleteMerchant                     
  api_v1_add_association                            POST       ANY      ANY    /api/association/.{_format}                                                                                                                                                                                                                                                                               ApiBundle:Association:add                             
  api_v1_accueil_association                        GET        ANY      ANY    /api/association/home/{id}.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Association:home                            
  api_v1_association_view                           GET        ANY      ANY    /api/association/view/{id}.{_format}                                                                                                                                                                                                                                                                      ApiBundle:Association:view                            
  api_v1_association_update                         POST       ANY      ANY    /api/association/{id}/update.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Association:update                          
  api_v1_association_volunteers                     GET        ANY      ANY    /api/association/{id}/volunteers.{_format}                                                                                                                                                                                                                                                                ApiBundle:Association:volunteers                      
  api_v1_association_admin                          POST       ANY      ANY    /api/association/{id}/admin.{_format}                                                                                                                                                                                                                                                                     ApiBundle:Association:addAdmin                        
  api_v1_association_superadmin                     POST       ANY      ANY    /api/association/{id}/superadmin.{_format}                                                                                                                                                                                                                                                                ApiBundle:Association:addSuperAdmin                   
  api_v1_association_admins                         GET        ANY      ANY    /api/association/{id}/admins/{page}/{limit}.{_format}                                                                                                                                                                                                                                                     ApiBundle:Association:admins                          
  api_v1_association_remove_admin                   POST       ANY      ANY    /api/association/{association}/admin/remove.{_format}                                                                                                                                                                                                                                                     ApiBundle:Association:removeAdmins                    
  api_v1_association_cities                         GET        ANY      ANY    /api/association/cities/{page}/{limit}.{_format}                                                                                                                                                                                                                                                          ApiBundle:Association:getAssociationsByCities         
  api_association_change-suadmin                    POST       ANY      ANY    /api/association/{id}/change/superadmin.{_format}                                                                                                                                                                                                                                                         ApiBundle:Association:changeSuAdmin                   
  api_association_remove-merchant                   POST       ANY      ANY    /api/association/{id}/delete.{_format}                                                                                                                                                                                                                                                                    ApiBundle:Association:deleteAssociation               
  app_homepage                                      ANY        ANY      ANY    /                                                                                                                                                                                                                                                                                                         AppBundle:Default:index                               
  app_profil                                        ANY        ANY      ANY    /profil                                                                                                                                                                                                                                                                                                   AppBundle:Default:profil                              
  fos_user_profile_show                             ANY        ANY      ANY    /profil                                                                                                                                                                                                                                                                                                   AppBundle:Default:profil                              
  app_password                                      ANY        ANY      ANY    /password                                                                                                                                                                                                                                                                                                 AppBundle:Default:password                            
  app_lock                                          ANY        ANY      ANY    /lock                                                                                                                                                                                                                                                                                                     AppBundle:Default:lock                                
  app_current_cityhall                              ANY        ANY      ANY    /currentCityhall                                                                                                                                                                                                                                                                                          AppBundle:Default:cityhalls                           
  app_latLngToAddress                               ANY        ANY      ANY    /latLngToAddress                                                                                                                                                                                                                                                                                          AppBundle:Default:latLngToAddress                     
  app_locateAddress                                 ANY        ANY      ANY    /locateAddress                                                                                                                                                                                                                                                                                            AppBundle:Default:locateAddress                       
  app_city                                          ANY        ANY      ANY    /city                                                                                                                                                                                                                                                                                                     AppBundle:City:index                                  
  app_city_grid                                     ANY        ANY      ANY    /cityGrid                                                                                                                                                                                                                                                                                                 AppBundle:City:indexGrid                              
  app_city_add                                      ANY        ANY      ANY    /city/add                                                                                                                                                                                                                                                                                                 AppBundle:City:add                                    
  app_city_update                                   ANY        ANY      ANY    /city/update/{id}                                                                                                                                                                                                                                                                                         AppBundle:City:update                                 
  app_city_delete                                   ANY        ANY      ANY    /city/delete/{id}                                                                                                                                                                                                                                                                                         AppBundle:City:delete                                 
  app_cityhall                                      ANY        ANY      ANY    /cityhall                                                                                                                                                                                                                                                                                                 AppBundle:Cityhall:index                              
  app_cityhall_grid                                 ANY        ANY      ANY    /cityhallGrid                                                                                                                                                                                                                                                                                             AppBundle:Cityhall:indexGrid                          
  app_cityhall_add                                  ANY        ANY      ANY    /cityhall/add                                                                                                                                                                                                                                                                                             AppBundle:Cityhall:add                                
  app_cityhall_update                               ANY        ANY      ANY    /cityhall/update/{id}                                                                                                                                                                                                                                                                                     AppBundle:Cityhall:update                             
  app_cityhall_view                                 ANY        ANY      ANY    /cityhall/view/{id}                                                                                                                                                                                                                                                                                       AppBundle:Cityhall:view                               
  app_cityhall_delete                               ANY        ANY      ANY    /cityhall/delete/{id}                                                                                                                                                                                                                                                                                     AppBundle:Cityhall:delete                             
  app_cityhall_access                               ANY        ANY      ANY    /cityhall/access/{id}                                                                                                                                                                                                                                                                                     AppBundle:Cityhall:access                             
  app_intercommunal                                 ANY        ANY      ANY    /intercommunal                                                                                                                                                                                                                                                                                            AppBundle:Intercommunal:index                         
  app_intercommunal_grid                            ANY        ANY      ANY    /intercommunalGrid                                                                                                                                                                                                                                                                                        AppBundle:Intercommunal:indexGrid                     
  app_intercommunal_add                             ANY        ANY      ANY    /intercommunal/add                                                                                                                                                                                                                                                                                        AppBundle:Intercommunal:add                           
  app_intercommunal_update                          ANY        ANY      ANY    /intercommunal/update/{id}                                                                                                                                                                                                                                                                                AppBundle:Intercommunal:update                        
